iter	Passed	Remaining
550	2358	1922
551	2363	1918
552	2366	1912
553	2369	1907
554	2372	1902
555	2375	1897
556	2379	1892
557	2382	1887
558	2386	1882
559	2389	1877
560	2393	1873
561	2396	1867
562	2399	1862
563	2403	1857
564	2408	1854
565	2412	1849
566	2416	1845
567	2422	1842
568	2426	1838
569	2430	1833
570	2433	1828
571	2437	1824
572	2441	1819
573	2444	1814
574	2448	1809
575	2451	1804
576	2455	1799
577	2458	1794
578	2461	1789
579	2464	1784
580	2469	1781
581	2473	1776
582	2476	1771
583	2479	1766
584	2485	1763
585	2488	1758
586	2491	1753
587	2494	1748
588	2501	1745
589	2507	1742
590	2510	1737
591	2518	1735
592	2525	1733
593	2535	1732
594	2538	1728
595	2541	1723
596	2547	1719
597	2551	1715
598	2554	1710
599	2557	1705
600	2565	1703
601	2569	1698
602	2572	1693
603	2577	1689
604	2580	1684
605	2583	1679
606	2587	1675
607	2591	1670
608	2594	1665
609	2597	1660
610	2601	1655
611	2606	1652
612	2609	1647
613	2612	1642
614	2615	1637
615	2619	1633
616	2623	1628
617	2626	1623
618	2629	1618
619	2634	1614
620	2637	1609
621	2640	1604
622	2644	1600
623	2647	1595
624	2651	1590
625	2654	1585
626	2657	1580
627	2660	1575
628	2665	1571
629	2668	1567
630	2671	1562
631	2674	1557
632	2679	1553
633	2683	1549
634	2686	1544
635	2689	1539
636	2694	1535
637	2701	1532
638	2705	1528
639	2710	1524
640	2713	1519
641	2718	1515
642	2721	1511
643	2727	1507
644	2731	1503
645	2734	1498
646	2737	1493
647	2741	1489
648	2744	1484
649	2747	1479
650	2750	1474
651	2755	1470
652	2758	1465
653	2761	1461
654	2764	1456
655	2769	1452
656	2772	1447
657	2776	1442
658	2779	1438
659	2784	1434
660	2787	1429
661	2790	1424
662	2793	1420
663	2797	1415
664	2801	1411
665	2805	1406
666	2808	1402
667	2811	1397
668	2815	1393
669	2819	1388
670	2822	1383
671	2825	1378
672	2829	1374
673	2832	1370
674	2835	1365
675	2838	1360
676	2843	1356
677	2846	1352
678	2850	1347
679	2853	1342
680	2856	1338
681	2860	1333
682	2864	1329
683	2867	1324
684	2872	1320
685	2875	1316
686	2878	1311
687	2882	1307
688	2887	1303
689	2893	1299
690	2899	1296
691	2907	1293
692	2912	1290
693	2919	1287
694	2924	1283
695	2939	1283
696	2946	1281
697	2955	1278
698	2962	1275
699	2968	1272
700	2971	1267
701	2974	1262
702	2977	1258
703	2984	1254
704	2988	1250
705	2991	1245
706	2994	1241
707	2999	1236
708	3002	1232
709	3005	1227
710	3008	1222
711	3013	1218
712	3016	1214
713	3019	1209
714	3022	1204
715	3026	1200
716	3030	1195
717	3033	1191
718	3036	1186
719	3040	1182
720	3044	1177
721	3047	1173
722	3050	1168
723	3053	1164
724	3057	1159
725	3061	1155
726	3064	1150
727	3070	1147
728	3074	1143
729	3077	1138
730	3080	1133
731	3086	1130
732	3090	1125
733	3093	1121
734	3096	1116
735	3101	1112
736	3104	1107
737	3108	1103
738	3111	1098
739	3116	1094
740	3119	1090
741	3122	1085
742	3125	1080
743	3129	1076
744	3132	1072
745	3136	1067
746	3139	1063
747	3142	1058
748	3145	1054
749	3149	1049
750	3152	1045
751	3155	1040
752	3159	1036
753	3162	1031
754	3165	1027
755	3169	1022
756	3173	1018
757	3177	1014
758	3181	1010
759	3184	1005
760	3188	1001
761	3191	996
762	3195	992
763	3198	987
764	3203	984
765	3207	979
766	3210	975
767	3213	970
768	3216	966
769	3220	961
770	3223	957
771	3226	952
772	3229	948
773	3234	944
774	3238	940
775	3241	935
776	3244	931
777	3249	927
778	3253	923
779	3257	918
780	3261	914
781	3265	910
782	3269	906
783	3273	901
784	3277	897
785	3280	893
786	3284	888
787	3287	884
788	3293	880
789	3297	876
790	3301	872
791	3304	867
792	3309	863
793	3312	859
794	3315	855
795	3318	850
796	3323	846
797	3326	842
798	3329	837
799	3332	833
800	3337	829
801	3341	824
802	3344	820
803	3346	815
804	3350	811
805	3354	807
806	3357	803
807	3361	798
808	3364	794
809	3369	790
810	3373	786
811	3377	781
812	3380	777
813	3384	773
814	3387	768
815	3390	764
816	3394	760
817	3398	756
818	3401	751
819	3405	747
820	3408	743
821	3412	738
822	3416	734
823	3420	730
824	3423	726
825	3427	722
826	3433	718
827	3440	714
828	3446	710
829	3450	706
830	3452	702
831	3459	698
832	3462	694
833	3467	690
834	3471	685
835	3476	681
836	3479	677
837	3482	673
838	3490	669
839	3494	665
840	3498	661
841	3503	657
842	3508	653
843	3511	649
844	3514	644
845	3521	641
846	3525	636
847	3529	632
848	3536	629
849	3540	624
850	3545	620
851	3552	617
852	3557	612
853	3560	608
854	3565	604
855	3569	600
856	3572	596
857	3575	591
858	3580	587
859	3584	583
860	3587	579
861	3590	574
862	3596	570
863	3601	566
864	3605	562
865	3610	558
866	3615	554
867	3618	550
868	3621	545
869	3626	541
870	3632	538
871	3638	534
872	3644	530
873	3649	526
874	3654	522
875	3658	517
876	3664	513
877	3672	510
878	3676	506
879	3679	501
880	3683	497
881	3687	493
882	3690	488
883	3693	484
884	3696	480
885	3701	476
886	3704	471
887	3707	467
888	3710	463
889	3715	459
890	3718	454
891	3721	450
892	3724	446
893	3729	442
894	3732	437
895	3735	433
896	3738	429
897	3742	425
898	3746	420
899	3749	416
900	3753	412
901	3756	408
902	3760	403
903	3763	399
904	3766	395
905	3769	391
906	3774	386
907	3777	382
908	3781	378
909	3785	374
910	3789	370
911	3792	365
912	3796	361
913	3802	357
914	3808	353
915	3812	349
916	3815	345
917	3820	341
918	3823	336
919	3826	332
920	3829	328
921	3836	324
922	3840	320
923	3844	316
924	3848	312
925	3854	308
926	3860	303
927	3871	300
928	3890	297
929	3918	294
930	3939	291
931	3969	289
932	3987	286
933	3999	282
934	4007	278
935	4017	274
936	4025	270
937	4029	266
938	4033	262
939	4044	258
940	4050	253
941	4061	250
942	4065	245
943	4074	241
944	4079	237
945	4084	233
946	4089	228
947	4094	224
948	4104	220
949	4108	216
950	4114	212
951	4121	207
952	4124	203
953	4134	199
954	4138	195
955	4142	190
956	4151	186
957	4159	182
958	4165	178
959	4169	173
960	4179	169
961	4183	165
962	4195	161
963	4205	157
964	4210	152
965	4213	148
966	4220	144
967	4224	139
968	4229	135
969	4232	130
970	4238	126
971	4241	122
972	4244	117
973	4247	113
974	4253	109
975	4256	104
976	4260	100
977	4263	95
978	4266	91
979	4270	87
980	4273	82
981	4276	78
982	4281	74
983	4286	69
984	4289	65
985	4292	60
986	4295	56
987	4298	52
988	4301	47
989	4304	43
990	4309	39
991	4312	34
992	4315	30
993	4319	26
994	4323	21
995	4326	17
996	4329	13
997	4333	8
998	4337	4
999	4340	0
